UNIQUE_CARRIER:300:<string>,mean_distance:300:<double>
02Q,2817.63414634
04Q,249.773569538
07Q,1165.4952381
09Q,708.949839228
0BQ,4653.54545455
0CQ,2567.40740741
0J,2917.25
0Q,2332.625
0QQ,3318
0UQ,3525.87804878
10Q,2718.6
12Q,3904.26666667
13Q,836.609544469
15Q,3085.13284133
17Q,3653.4
1BQ,1486.44117647
1EQ,1388.46456693
1HQ,3478.41538462
1QQ,45
1UQ,2036.35526316
1XQ,3548.06060606
1YQ,60.5306122449
1ZQ,4698.375
24Q,3233.16666667
25Q,2931.42857143
26Q,3750.16129032
27Q,952.342128028
2AQ,2329.11538462
2E,18.418079096
2GQ,2222.34782609
2JQ,560.26918239
2K,2604
2LQ,128.196857671
2NQ,102.393665158
2O,44.3842848373
2OQ,314.98245614
2UQ,2930.7037037
36Q,2927.56495468
3AQ,74.8947368421
3BQ,186
3EQ,955.138323353
3FQ,1201.43313709
3KQ,60
3M,241.748953975
3S,3923.76612903
3U,7205
4B,222
4C,1537.35227273
4W,121.776737968
4Y,4449.00641026
5D,1090.17941176
5V,319.97965412
5X,1050.05870292
5Y,2674.31058358
6F,73.504642713
7C,1942.78571429
7H,489.794663573
7S,89.1819516971
8C,1138.93155452
8E,105.862427746
8R,5193.69565217
8V,156.593353985
9E,452.4273081
9K,119.13326226
9X,157.985044188
AA,1157.66813274
ABX,865.262783172
AC,1358.07334963
AD,3590.63551402
ADB,2635.18803419
AF,4202.82989691
AI,7703.88064516
ALQ,3772.44444444
AM,1531.39849624
AMQ,795.568669528
AN,428.235084595
AOQ,3897.95686275
AQB,2864.25
AQX,5074.27777778
AR,4739.71428571
ARQ,3868.2
AS,1381.57627776
AT,3920
ATQ,3668.54545455
AV,1818.378327
AY,4887.02830189
AZ,4953.4471831
B0,3681.5
B6,1293.93279413
BA,4279.17634855
BAS,39.8428571429
BCQ,1233.03571429
BF,4660.53787879
BQJ,3612.46153846
BR,5386.52564103
BW,1801.89954338
BY,4268.15079365
C5,455.871384298
C8,5719.94339623
CA,5894.81944444
CAZ,3674.04761905
CC,4171.09146341
CI,5213.11678832
CK,6273.44444444
CM,1863.82312925
CRV,3853.02040816
CT,3800.79166667
CV,5523.11622276
CX,3979.19754768
CZ,6690
DE,4583.38181818
DHQ,2418.74418605
DL,1233.17024353
E7,1276
E9,4321.28571429
EAU,2999.64705882
EDQ,2300.31034483
EI,3728.63207547
EK,6659.20913462
ELL,102
EM,132.757512953
ET,6962
EY,6675.16
F9,927.182904496
FI,2909.88262195
FJ,3884.43243243
FK,1516.28571429
FX,911.493400807
FYQ,3637
G3,3413.24409449
G4,929.65352465
G7,363.128358209
GCA,906.199947243
GCH,59
GCQ,3986.9
GEQ,2988.58450704
GFQ,751.566869301
GJQ,2691.89705882
GQQ,250.567164179
GU,2194
GV,71.124137931
GWQ,189.125
H8,2648.80769231
HA,2344.8422478
HAQ,1040.53535354
HC,3830
HQC,4865.5
HUQ,2926.88461538
HX,2139
HY,6339
HYP,2735.4
I4,116.025423729
IB,4363.69967532
IFQ,3747.22857143
IGA,3427.5
IWQ,272.1171875
J5,68.3401988636
JCO,3249.00775194
JEQ,2785.7
JJ,4416.73195876
JL,5025.99150743
JN,119.708791209
JQ,5285
JRQ,142.907356948
JU,4511
JWQ,3610.11111111
JX,6377.16666667
K2,56.0402263998
K3,45.2366930917
KAH,99.3106672333
KAQ,3604.57680872
KAT,200.582417582
KD,2863.14893617
KE,4216.66362946
KFQ,3635.82857143
KG,306.424528302
KH,133.375
KL,4518.87856258
KLQ,650.384694933
KO,324.889143731
KQ,7360
KU,6352
KX,1269.00740741
KZ,3828.72571429
L2,539.02259887
L7,2402.96134021
LA,3530.10063898
LDQ,3743.54
LF,423.904491018
LH,4390.9647541
LJ,1900.68
LMQ,4771
LO,4769.6105919
LP,3308.95734597
LR,1991.67630058
LX,4405.67491166
LY,6239.27111111
M3,3168.34418605
M6,1614.60440714
M7,3028.82926829
MF,7286
MP,2611.21794872
MQ,576.347784659
MS,5696
MU,6254.97297297
MX,859.530673759
N0,4493.39189189
N3,1810.09090909
N8,3052.21452145
NC,761.414300736
NEW,17
NH,5603.36702128
NIQ,3686.86111111
NK,973.342009132
NLQ,910
NOS,4130.6
NZ,6751.45454545
OG,2608.69918699
OH,482.237878591
OO,486.685725033
OS,4419.47572816
OZ,4474.79733333
PAF,134
PD,1526.87250996
PFQ,1978.98378378
PO,4566.11607143
PR,5919.11046512
PT,314.387755102
PTQ,2747.89361702
PY,1551
Q5,122.593548387
Q6,2126.22891566
QF,5804.62155388
QFX,2240.37241379
QK,515.266781411
QR,7471.54545455
QT,2280.8538206
QX,614.751736111
RJ,6009.66666667
RV,1371.54226021
RVQ,192
S2,59.2054794521
S4,2841.74193548
SEB,43
SK,4289.04968944
SN,3742
SNK,42.0627615063
SQ,7023.59610028
SV,6848.79130435
SVW,3161.44444444
SWQ,4001.5
SY,804.795696802
TA,1849.02431611
TEQ,3975.44444444
TIQ,2759.76923077
TK,4877.06374086
TN,4891.25
TP,3695.15769231
TQ,1436.76923077
TS,1437.38423645
U7,765.191973244
UA,1383.67420683
UX,3939.42857143
V8,132.994623656
VB,1046.73215718
VC,443.72
VI,30.649122807
VJT,3987.71344217
VS,4130.552822
VXQ,3677.6
W2,2011.1627907
W8,1503.58016148
WFL,5652.33333333
WG,1617.56521739
WGT,3600.59259259
WI,3357.57070707
WL,543.792553191
WN,879.351409067
WPT,4375
WS,1527.36351351
WST,80
WU,156.705882353
X4,40.0681818182
X7,4186.47761194
X9,2130.93436293
XL,2155.14215686
XP,773.843647016
XQQ,4055.5
Y4,1404.7684702
Y9,1583
YB,120.487179487
YP,6105.91428571
YR,93.0736342043
YV,610.816620879
YX,532.411469234
Z0,4422.80392157
Z3Q,70
ZG,4928.53333333
ZPQ,2517.42857143
ZW,359.996598639
