UNIQUE_CARRIER:14070:<string>,ORIGIN:14070:<string>,origin_passengers:14070:<double>
02Q,ANC,38
02Q,AUS,1
02Q,BFI,0
02Q,BGI,15
02Q,BOG,46
02Q,FLL,86
02Q,GYE,40
02Q,JFK,15
02Q,KOA,97
02Q,MCO,178
02Q,MIA,220
02Q,MSY,56
02Q,ONT,0
02Q,PAE,97
02Q,PDL,264
02Q,PTY,44
02Q,STN,131
04Q,1B1,15
04Q,1CT,4
04Q,1N7,4
04Q,1NY,9
04Q,2FL,7
04Q,2GA,6
04Q,3FL,11
04Q,3VA,2
04Q,5PA,5
04Q,6B0,20
04Q,6PA,3
04Q,ABE,14
04Q,ABY,8
04Q,ACK,7964
04Q,ACY,65
04Q,AGC,42
04Q,AGS,11
04Q,AHN,1
04Q,ALB,140
04Q,ANP,18
04Q,ANU,22
04Q,AOO,12
04Q,APA,5
04Q,APF,154
04Q,ART,8
04Q,ASD,10
04Q,ASE,11
04Q,ASH,1
04Q,ATL,1
04Q,AUG,40
04Q,AVL,5
04Q,AVP,14
04Q,AXA,389
04Q,AZS,6
04Q,B19,4
04Q,B21,3
04Q,BAF,6
04Q,BBX,123
04Q,BCT,166
04Q,BDA,8
04Q,BDL,50
04Q,BDR,91
04Q,BED,626
04Q,BFD,3
04Q,BFT,18
04Q,BGM,9
04Q,BGR,43
04Q,BHB,145
04Q,BID,88
04Q,BIM,30
04Q,BKL,11
04Q,BKW,5
04Q,BLM,141
04Q,BML,11
04Q,BNA,8
04Q,BOS,555
04Q,BOW,9
04Q,BQN,9
04Q,BQU,2
04Q,BTP,12
04Q,BTV,223
04Q,BUF,74
04Q,BVY,28
04Q,BWI,112
04Q,BZN,2
04Q,CAE,2
04Q,CCZ,33
04Q,CDW,17
04Q,CEF,1
04Q,CGF,19
04Q,CGI,6
04Q,CHA,1
04Q,CHO,79
04Q,CHS,14
04Q,CIW,10
04Q,CLE,4
04Q,CLT,2
04Q,CMH,27
04Q,CMI,3
04Q,CON,17
04Q,CRG,87
04Q,CT1,23
04Q,CT5,8
04Q,CT7,1
04Q,CTH,18
04Q,DAB,24
04Q,DAL,8
04Q,DAY,4
04Q,DE2,7
04Q,DE3,6
04Q,DHN,1
04Q,DKK,9
04Q,DNL,8
04Q,DOM,14
04Q,DOV,8
04Q,DQN,5
04Q,DRO,2
04Q,DSI,1
04Q,DXR,57
04Q,DYL,8
04Q,ECP,13
