UNIQUE_CARRIER,mean_distance
AI,7703.88064516129
QR,7471.545454545455
KQ,7360.0
MF,7286.0
3U,7205.0
SQ,7023.596100278552
ET,6962.0
SV,6848.791304347826
NZ,6751.454545454545
CZ,6690.0
EY,6675.16
EK,6659.209134615385
JX,6377.166666666667
KU,6352.0
HY,6339.0
CK,6273.444444444444
MU,6254.972972972973
LY,6239.271111111111
YP,6105.914285714286
RJ,6009.666666666667
PR,5919.110465116279
CA,5894.819444444444
QF,5804.621553884712
C8,5719.943396226415
MS,5696.0
WFL,5652.333333333333
NH,5603.367021276596
CV,5523.116222760291
BR,5386.525641025641
JQ,5285.0
CI,5213.116788321168
8R,5193.695652173913
AQX,5074.277777777777
JL,5025.991507430997
AZ,4953.447183098591
ZG,4928.533333333334
TN,4891.25
AY,4887.028301886792
TK,4877.063740856845
HQC,4865.5
LMQ,4771.0
LO,4769.610591900311
AR,4739.714285714285
1ZQ,4698.375
BF,4660.537878787879
0BQ,4653.545454545455
DE,4583.381818181818
PO,4566.116071428572
KL,4518.878562577447
JU,4511.0
N0,4493.391891891892
OZ,4474.797333333333
4Y,4449.00641025641
Z0,4422.803921568628
OS,4419.47572815534
JJ,4416.731958762886
LX,4405.674911660777
LH,4390.964754098361
WPT,4375.0
IB,4363.699675324675
E9,4321.285714285715
SK,4289.0496894409935
BA,4279.176348547718
BY,4268.150793650793
KE,4216.663629460896
AF,4202.829896907217
X7,4186.477611940299
CC,4171.091463414634
NOS,4130.6
VS,4130.552821997106
XQQ,4055.5
SWQ,4001.5
VJT,3987.713442167419
GCQ,3986.9
CX,3979.197547683924
TEQ,3975.4444444444443
UX,3939.4285714285716
3S,3923.766129032258
AT,3920.0
12Q,3904.266666666667
AOQ,3897.956862745098
FJ,3884.4324324324325
ARQ,3868.2
CRV,3853.0204081632655
HC,3830.0
KZ,3828.7257142857143
CT,3800.7916666666665
ALQ,3772.4444444444443
26Q,3750.1612903225805
IFQ,3747.2285714285713
LDQ,3743.54
SN,3742.0
EI,3728.632075471698
TP,3695.1576923076923
NIQ,3686.8611111111113
B0,3681.5
VXQ,3677.6
CAZ,3674.0476190476193
ATQ,3668.5454545454545
17Q,3653.4
FYQ,3637.0
KFQ,3635.8285714285716
BQJ,3612.4615384615386
JWQ,3610.1111111111113
KAQ,3604.5768087215065
WGT,3600.5925925925926
AD,3590.6355140186915
1XQ,3548.060606060606
LA,3530.1006389776358
0UQ,3525.878048780488
1HQ,3478.4153846153845
IGA,3427.5
G3,3413.244094488189
WI,3357.570707070707
0QQ,3318.0
LP,3308.957345971564
JCO,3249.0077519379847
24Q,3233.1666666666665
M3,3168.344186046512
SVW,3161.4444444444443
15Q,3085.132841328413
N8,3052.214521452145
M7,3028.829268292683
EAU,2999.6470588235293
GEQ,2988.5845070422533
25Q,2931.4285714285716
2UQ,2930.703703703704
36Q,2927.5649546827794
HUQ,2926.8846153846152
0J,2917.25
FI,2909.8826219512193
AQB,2864.25
KD,2863.148936170213
S4,2841.7419354838707
02Q,2817.6341463414633
JEQ,2785.7
TIQ,2759.769230769231
PTQ,2747.8936170212764
HYP,2735.4
10Q,2718.6
GJQ,2691.8970588235293
5Y,2674.310583580613
H8,2648.8076923076924
ADB,2635.188034188034
MP,2611.2179487179487
OG,2608.6991869918697
2K,2604.0
0CQ,2567.4074074074074
ZPQ,2517.4285714285716
DHQ,2418.7441860465115
L7,2402.9613402061855
HA,2344.8422477995937
