UNIQUE_CARRIER,ORIGIN,origin_passengers
DL,ATL,38684125.0
AA,DFW,28487882.0
AA,CLT,19888475.0
UA,DEN,15637367.0
AA,MIA,15209951.0
UA,ORD,14531929.0
UA,EWR,14299286.0
UA,IAH,13132514.0
WN,DEN,12604478.0
AS,SEA,11212342.0
UA,SFO,10759394.0
WN,LAS,10663558.0
DL,MSP,10583309.0
WN,BWI,9420799.0
WN,MDW,9322588.0
DL,DTW,9068162.0
WN,DAL,8486444.0
WN,PHX,8447930.0
AA,PHX,8435743.0
AA,ORD,8063117.0
DL,SLC,7846664.0
DL,JFK,7827304.0
AA,PHL,7549129.0
B6,JFK,7488029.0
WN,HOU,6750680.0
UA,IAD,6653690.0
WN,BNA,6389585.0
DL,LAX,6360114.0
WN,MCO,6129476.0
UA,LAX,5494849.0
NK,FLL,5415906.0
B6,BOS,5306354.0
AA,LAX,5249116.0
DL,SEA,5132916.0
WN,STL,5042954.0
WN,AUS,4487792.0
MQ,DFW,4474159.0
HA,HNL,4419137.0
DL,BOS,4308668.0
F9,DEN,4105926.0
WN,SAN,4096411.0
WN,OAK,4091279.0
NK,LAS,3954404.0
WN,ATL,3885713.0
NK,MCO,3852075.0
DL,LGA,3775837.0
OH,CLT,3646007.0
WN,SMF,3626054.0
DL,MCO,3609060.0
AA,DCA,3473997.0
BA,LHR,3437315.0
WN,LAX,3383049.0
B6,FLL,3323871.0
WN,SJC,3239210.0
AA,JFK,3235468.0
OO,DEN,3061795.0
WN,TPA,3011018.0
WN,MCI,2959550.0
F9,MCO,2897933.0
OO,ORD,2828458.0
AA,MCO,2795060.0
B6,MCO,2733686.0
YX,LGA,2540973.0
DL,LAS,2503221.0
AA,BOS,2464924.0
AS,PDX,2338632.0
WN,MSY,2251074.0
OO,LAX,2230724.0
AF,CDG,2185641.0
AA,LAS,2184084.0
UA,MCO,2165601.0
AA,LGA,2137544.0
SY,MSP,2120087.0
DL,TPA,2063609.0
UA,LAS,2041753.0
9E,LGA,2031932.0
DL,FLL,1998769.0
TK,IST,1992057.0
MQ,ORD,1990263.0
YV,IAH,1978698.0
AS,LAX,1975685.0
F9,LAS,1968303.0
OH,DCA,1963437.0
WN,FLL,1955080.0
AA,AUS,1953232.0
DL,SFO,1948462.0
OO,SLC,1916118.0
WN,SAT,1915286.0
F9,ATL,1891701.0
OO,SFO,1890229.0
NK,LAX,1888188.0
WN,BUR,1874656.0
WN,DCA,1869182.0
WN,LGB,1859121.0
F9,PHL,1818291.0
DL,MIA,1805475.0
AA,TPA,1799054.0
OO,SEA,1779965.0
UA,BOS,1772514.0
AS,SFO,1764204.0
Y4,GDL,1755097.0
AA,LHR,1745503.0
YX,EWR,1744610.0
CM,PTY,1742621.0
DL,DEN,1736896.0
9E,ATL,1718713.0
DL,PHX,1714167.0
AS,ANC,1707693.0
NK,DTW,1682091.0
NK,DFW,1680976.0
NK,IAH,1679723.0
NK,ATL,1675457.0
B6,SJU,1654711.0
AA,SFO,1654179.0
AC,YYZ,1651323.0
NK,EWR,1639988.0
WN,LGA,1626945.0
LH,FRA,1622979.0
YX,DCA,1601129.0
F9,DFW,1591378.0
AA,RDU,1588307.0
WN,SNA,1585800.0
HA,OGG,1573204.0
YX,BOS,1566685.0
VS,LHR,1555796.0
AS,SAN,1546173.0
UA,SAN,1543813.0
DL,SAN,1525541.0
OO,DTW,1523181.0
DL,RDU,1520424.0
AM,MEX,1510433.0
AA,SAN,1497363.0
WN,HNL,1496937.0
OO,PHX,1492537.0
EK,DXB,1486960.0
WN,SLC,1484824.0
NK,ORD,1481159.0
WN,IND,1462241.0
OO,MSP,1460118.0
QX,SEA,1455589.0
KE,ICN,1449182.0
DL,AUS,1448664.0
WN,CMH,1447846.0
UA,PHX,1446560.0
QR,DOH,1438070.0
F9,PHX,1433164.0
DL,DFW,1426141.0
AA,CUN,1425321.0
DL,AMS,1394198.0
PT,CLT,1384457.0
G4,SFB,1380983.0
WN,ABQ,1355991.0
NK,LGA,1353726.0
UA,HNL,1341166.0
B6,LAX,1310927.0
DL,ORD,1300003.0
WN,ONT,1280167.0
UA,SEA,1276365.0
AA,DEN,1269171.0
WN,PIT,1252587.0
UA,CUN,1240025.0
WS,YYC,1226581.0
UA,TPA,1217524.0
YX,ORD,1212729.0
G4,PIE,1202879.0
DL,DCA,1200211.0
OO,DFW,1195697.0
UA,AUS,1193704.0
WN,MKE,1192708.0
WN,PDX,1182637.0
UA,FLL,1175598.0
DL,BNA,1165143.0
MQ,MIA,1136236.0
DL,RSW,1126130.0
9E,JFK,1124319.0
WN,RDU,1119819.0
F9,SJU,1118068.0
UA,CLE,1117035.0
EI,DUB,1112873.0
AA,BNA,1107272.0
DL,PDX,1107235.0
B6,LGA,1099350.0
B6,PBI,1098887.0
BR,TPE,1091204.0
WN,SEA,1082284.0
UA,LHR,1081362.0
KL,AMS,1080180.0
AA,SAT,1076180.0
NK,BWI,1074368.0
DL,CVG,1066154.0
DL,MSY,1062326.0
B6,EWR,1058075.0
DL,PBI,1053320.0
F9,TPA,1046700.0
F9,CLE,1044154.0
LH,MUC,1035990.0
AA,EWR,1034508.0
UA,LGA,1024386.0
WN,ELP,1022144.0
G4,LAS,1006641.0
NK,BOS,999189.0
WN,OMA,996606.0
DL,CDG,993672.0
UA,DFW,990804.0
